;Mrf#;Product Link;Unit Price(USD);Quantity;Ext.Price(USD);Description;;;;;;;;;;;;
52;LM66100DCKR;https://www.lcsc.com/product-detail/C2869734.html;0.2655;2;1.33;95mΩ 1 SC-70-6 OR Controllers, Ideal Diodes RoHS;;;;;;;;;;;;
53;TYPE-C 16PIN 2MD(073);https://www.lcsc.com/product-detail/C2765186.html;0.0707;1;1.41;USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount, Right Angle;;;;;;;;;;;;
54;FD6288Q;https://www.lcsc.com/product-detail/C328453.html;0.8639;4;3.46;Three Phase Gate Driver IC MOSFET IGBT QFN-24-EP(4x4);;;;;;;;;;;;
55;RS60N80UHG;https://www.lcsc.com/product-detail/C51904706.html;0.1957;24;4.89;60V 80A 3.6V 78W 4.2mΩ@10V 1 N-channel PDFN-8(5x6) Single FETs, MOSFETs RoHS;;;;;;;;;;;;
56;LDL212PV33R;https://www.lcsc.com/product-detail/C2969892.html;0.5797;1;0.58;3.3V Positive Fixed DFN-6(2x2) Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS;;;;;;;;;;;;
57;SMBJ28A;https://www.lcsc.com/product-detail/C178227.html;0.1082;1;0.54;45.4VC Clamp 13.3A@10/1000us Ipp TVS DIODE DO-214AA;;;;;;;;;;;;
58;INA2180A1IDSGR;https://www.lcsc.com/product-detail/C2873353.html;0.3972;2;0.79;2 25uV -200mV~26V 2V/us 350kHz 100dB 100nA 355uA 20V/V WSON-8(2x2) Instrumentation, Op Amps, Buffer Amps RoHS;;;;;;;;;;;;
59;LM76003RNPR;https://www.lcsc.com/product-detail/C470958.html;2.2912;1;2.29;2.2MHz Step-down type Adjustable 1V~57V 3.5A WQFN-30-EP(4x6) Voltage Regulators - DC DC Switching Regulators RoHS;;;;;;;;;;;;
60;1N4148WT;https://www.lcsc.com/product-detail/C917006.html;0.0079;12;0.40;Diode Independent 75V 150mA Surface Mount SOD-523;;;;;;;;;;;;
61;ABM8-272-T3;https://www.lcsc.com/product-detail/C20625731.html;0.2956;1;1.48;±30ppm 10pF ±30ppm SMD3225-4P Crystals RoHS;;;;;;;;;;;;
62;BMP280;https://www.lcsc.com/product-detail/C83291.html;6.9336;1;6.93;30Kpa~1.1bar LGA-8(2x2.5) Pressure Sensors, Transducers RoHS;;;;;;;;;;;;
63;UHW1H102MHD;https://www.lcsc.com/product-detail/C250864.html;0.9688;1;0.97;1000uF 50V Aluminum Electrolytic Capacitors Through Hole,D12.5xL31.5mm 10000hrs@105℃;;;;;;;;;;;;
 Total;;;;;$96.78;;;;;;;;;;;;;
